5,28,250000
1,21,50000
3,23,170000
2,22,25000
1,17,10000
25,62,5001000
19,54,800000
2,21,9000
10,36,61500
15,54,650000
4,26,250000
6,29,1400000
14,39,6000050
11,40,220100
2,23,7500
4,2,787000
10,34,930000
15,5,47900000
2,21,15000
10,36,330000
15,54,6570000
4,26,25000
5,29,6845000
1,21,6000
4,23,8900
3,22,20000
1,18,3000
27,62,10000000
19,54,5000000
2,21,6100
10,34,80000
15,54,900000
20,55,1540000
19,53,9300000
16,49,7600000
10,36,61500
15,54,650000
4,26,250000
6,29,1400000
14,39,6000050
11,40,220100
2,23,7500
4,2,787000
10,34,930000
15,5,47900000
2,21,15000
10,36,330000
15,54,6570000
4,26,25000
5,29,6845000
1,21,6000
4,23,8900
3,22,20000
1,18,3000
27,62,10000000
19,54,5000000
2,21,6100
10,34,80000
15,54,900000
20,55,1540000
19,53,9300000
16,49,7600000
