20150101,27.3,23.9,32.5,0,0,25461
20150102,27.02,24.5,33.5,0,0,28972
20150103,24.82,22.4,29.9,0,1,30814
20150104,23.98,21.5,28.6,1.2,1,29799
20150105,23.82,21,28.3,0,0,28900
20150106,23.78,20.1,30.5,12.2,0,28218
20150107,24,19.5,33.7,0,0,29732
20150108,24.9,19.5,32.8,48.6,0,28397
20150109,28.2,21.9,34,4.4,0,24886
20150110,26.76,22.1,34.2,0,1,37937
20150111,27.62,22.2,34.8,3.4,1,36254
20150112,25.96,21.4,35.4,0,0,25743
20150113,25.52,21.2,34.8,0.8,0,26990
20150114,25.96,21.3,34,1.6,0,31825
20150115,25.86,21.5,32.8,3,0,25724
20150116,26.5,22.3,32.7,2,0,29938
20150117,28.86,22,35.8,0,1,37690
20150118,28.26,23.4,35.6,0,1,30524
20150119,28.22,22.7,36.5,3.7,0,29265
20150120,27.68,23.3,35.6,0.6,0,35127
20150121,25.32,22.7,30.9,0,0,29130
20150122,21.74,19.2,26.1,31,0,25795
20150123,21.04,18.5,26.1,3.6,0,21784
20150124,23.12,19,29.4,13,1,28348
20150125,24.4,18.1,30,0,1,31088
20150126,22.4,18.9,28.7,20.8,0,21520
20150127,23.6,20.5,28.7,1.2,0,29972
20150128,25.68,20.1,29.9,4.9,0,22603
20150129,25,21.5,29.2,0,0,22696
20150130,22.8,20.9,26.9,0,0,26845
20150131,21.64,18.5,24.3,0.2,1,27030
20150201,24.16,20.6,28,0,1,32057
20150202,22.48,20.7,26.5,4.5,0,24097
20150203,23.16,18,31.1,1.6,0,31655
20150204,22.12,19.9,23.7,3.2,0,24738
20150205,20.28,19.1,22.9,5.6,0,19950
20150206,21.06,17.9,25.4,18.4,0,22821
20150207,21.86,17.3,28.7,16.7,1,28893
20150208,22.76,17.1,29.5,10.4,1,29926
20150209,24,19.3,30.7,0,0,24062
20150210,23.92,20.1,29,32.2,0,21137
20150211,25.38,19.9,30.4,2.2,0,26805
20150212,27.66,23.1,32.7,0,0,26389
20150213,25.54,22.5,32.1,0,0,24219
20150214,24.32,21.1,31.6,0,1,30231
20150215,22.9,20,27.6,17.4,1,24968
20150216,21.6,18.8,27.3,22.7,0,25343
20150217,22.76,19.7,28,85.3,0,17399
20150218,22.22,19.9,26.4,13.4,0,21392
20150219,23.92,19.9,28.5,2.4,0,22922
20150220,24.72,21.7,28.2,0,0,24567
20150221,25.2,21.4,31.1,0,1,30943
20150222,24.44,20.4,30.8,0,1,30825
20150223,25.4,20.7,31.4,0,0,25692
20150224,24.3,20.5,31.9,0,0,26959
20150225,22.24,19.3,29.3,2,0,25366
20150226,24.1,19.2,30.3,34.4,0,22784
20150227,24.64,20.4,31.4,0.6,0,26241
20150228,22.4,19.7,27.7,0,1,26467
20150301,21.26,18.2,26.3,3,1,27475
20150302,22.16,17.2,29.2,0,0,28749
20150303,23.16,19.5,29.5,0,0,24146
20150304,23.68,18.9,30.5,0,0,22988
20150305,24.42,19.7,31.6,0,0,30300
20150306,22.6,19.4,28.5,0,0,22654
20150307,21.92,19.4,26.6,38.2,1,29090
20150308,22.2,19.7,24.4,69.2,1,24619
20150309,21.36,19.7,23.3,77,0,20016
20150310,23.12,21.2,26.9,9.7,0,23042
20150311,22.88,20.1,28.1,9.5,0,22933
20150312,22.26,19.2,26.9,1.2,0,22409
20150313,22.34,20,26.6,0,0,21281
20150314,22.88,19.9,27.9,12.2,1,28844
20150315,22.08,19.1,26.8,0.3,1,32872
20150316,21.92,18.6,29.4,22.4,0,20903
20150317,21.92,18.6,25.6,24.2,0,26275
20150318,21.24,19.7,24.1,0,0,20167
20150319,21.78,19.2,27.1,3.2,0,23628
